run;context;V_Cathode;V_Gate;V_Anode;dV_Cathode;dV_Anode;E_drift;E_extract;E_r0
157;d;-5.5;-2;2;3.5;4;0.5;8;
158;d;-5.5;-2;1.5;3.5;3.5;0.5;7;
159;d;-5.5;-2;1;3.5;3;0.5;6;
160;d;-5.5;-2;0.5;3.5;2.5;0.5;5;
161;d;-5.5;-2;0;3.5;2;0.5;4;
228;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
229;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
230;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
231;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
232;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
233;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
234;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
235;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
236;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
237;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
238;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
239;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
240;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
241;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
242;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
243;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
244;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
245;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
246;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
247;d;-5.5;-2;2.5;3.5;4.5;0.5;9;
1658;s;-4.5;-1;3.2;3.5;4.2;0.5;8.4;1023
1659;s;-4.5;-1;3.2;3.5;4.2;0.5;8.4;1023
1660;s;-4.5;-1;3.2;3.5;4.2;0.5;8.4;1023
1661;s;-4.5;-1;3.6;3.5;4.6;0.5;9.2;1120
1662;s;-4.5;-1;3.6;3.5;4.6;0.5;9.2;1120
1663;s;-4.5;-1;3.6;3.5;4.6;0.5;9.2;1120
1664;s;-4.5;-1;3.6;3.5;4.6;0.5;9.2;1120
1665;s;-4.5;-1;3.6;3.5;4.6;0.5;9.2;1120
1671;s;-4.5;-1;2;3.5;3;0.5;6;731
1672;s;-4.5;-1;2.2;3.5;3.2;0.5;6.4;779
1673;s;-4.5;-1;2.4;3.5;3.4;0.5;6.8;828
1674;s;-4.5;-1;2.6;3.5;3.6;0.5;7.2;877
1675;s;-4.5;-1;2.8;3.5;3.8;0.5;7.6;925
1676;s;-4.5;-1;3;3.5;4;0.5;8;974
1677;s;-4.5;-1;3.2;3.5;4.2;0.5;8.4;1023
1678;s;-4.5;-1;3.4;3.5;4.4;0.5;8.8;1071
1679;s;-4.5;-1;3.6;3.5;4.6;0.5;9.2;1120
1681;s;-5.5;-2;1;3.5;3;0.5;6;731
1682;s;-5.5;-2;1.2;3.5;3.2;0.5;6.4;779
1683;s;-5.5;-2;1.4;3.5;3.4;0.5;6.8;828
1684;s;-5.5;-2;1.6;3.5;3.6;0.5;7.2;877
1685;s;-5.5;-2;1.8;3.5;3.8;0.5;7.6;925
1686;s;-5.5;-2;2;3.5;4;0.5;8;974
1687;s;-5.5;-2;2.2;3.5;4.2;0.5;8.4;1023
1688;s;-5.5;-2;2.4;3.5;4.4;0.5;8.8;1071
1689;s;-5.5;-2;2.6;3.5;4.6;0.5;9.2;1120
